August
  Sat	1	1:00 PM		Greener Things	jazz&pop-inspired folk
  Sat	1	4:00 PM		Alexis Tsamoudakis Trio	jazz
  Sat	1	7:00 PM		Jerry Day After Party	Feat. Dead and Breakfast
  Sun	2	12:00 PM		James Napoli	Classical Piano/Rock Pop
  Sun	2	6:00 PM		Ultra Combo	Video Game Jazz Jam
  Mon	3	7:00 PM		Game Night	MTG, Video Games, Board Games
  Tue	4	7:00 PM		Karaoke Nights	Eat Drink Sing w/KJ HawK
  Wed	5	6:00 PM		OAH Jazz Jam	Weekly Jazz Jam
  Thu	6	6:30 PM		Trivia Night	Trivia Night
  Fri	7	4:00 PM		Francisco Rosales	Piano and Friends
  Fri	7	7:00 PM		Hop Sauce	Funk, Groove & Jam
  Sat	8	1:00 PM		Bernie Bagshaw & Friends	Jazz, Latin, pop
  Sat	8	4:00 PM		Paul Lyons	Singer Songwriter, Jazz, Folk
  Sat	8	8:30 PM		Alex Makeev Trio	Contemporary Jazz
  Sat	8	10:30 PM		Don Juan Noel	Disco Daddy’s Dance Party
  Sun	9	1:00 PM		Sketchy at Best	Improv
  Sun	9	6:00 PM		Dr. Mandu Jazz Collaborative	Swing, Blues, Latin, Funk
  Mon	10	7:00 PM		Game Nights	MTG, Video Games, Board Games
  Tue	11	7:00 PM		Turntable Tuesdays	Vinyl Spin Night
  Wed	12	7:00 PM		OAH Jazz Jam	Weekly Jazz Jam
  Thu	13	7:00 PM		Club Chicxulub	Speculative fiction literary reading with a live darkwave & ambient music soundtrack
  Fri	14	4:00 PM		Peter Lindman	Americana/Popular Music of the Sixties
  Fri	14	7:00 PM		The Jazz Beaus	Jazz
  Fri	14	8:30 PM		Soul Circuitry	Funk, jazz fusion
  Fri	14	10:30 PM		DJ Cait	Open Format DJ
  Sat	15	1:00 PM		Alie Halla & Holly Restani	Original Folk, harmonies and heart
  Sat	15	4:00 PM		Syd and I	Future Synth-Vox Pop
  Sat	15	7:00 PM		Rick Sanders	Acoustic Rock / Live Looping
  Sat	15	8:30 PM		The Dan Arwady Band	Rock and Folk
  Sun	16	1:00 PM		Private Event	Closed until 5pm
  Sun	16	6:00 PM		Furey Brothers	Jazz Fusion Funk
  Mon	17	7:00 PM		Game Nights	MTG, Video Games, Board Games
  Tue	18	7:00 PM		Karaoke Nights	Eat Drink Sing w/KJ HawK
  Wed	19	7:00 PM		OAH Jazz Jam	Weekly Jazz Jam
  Thu	20	7:00 PM		House of Jade	Jazz, funk, RnB
  Fri	21	4:00 PM		Peter Lindman	Americana/Popular Music of the Sixties
  Fri	21	7:00 PM		Schleptet Kleinman	Jazz and Funky Out-There Stuff
  Fri	21	10:30 PM		DJ Ell	Open Format DJ
  Sat	22	1:00 PM		Small Town Depression	American, Pop and Originals
  Sat	22	4:00 PM		Georgia Blues and Musicians	Blues, JaZZ and Rock n Roll
  Sat	22	7:00 PM		Gnarlymen	Instrumental Surf/Spy/Spaghetti Western rock 
  Sat	22	8:30 PM		My Blue Soul	Soul/Blues
  Sat	22	10:30 PM		Don Juan Noel	Disco Daddy’s Dance Party
  Sun	23	1:00 PM		Manzanitas	Indy Singer Songwriter
  Sun	23	6:00 PM		Karen Segal	Jazz Exploration
  Mon	24	7:00 PM		Game Night	MTG, Video Games, Board Games
  Tue	25	7:00 PM		Taco Tuesday	Delicious Tacos and Latin Band
  Wed	26	7:00 PM		OAH Jazz Jam	Weekly Jazz Jam
  Thu	27	7:00 PM		Laughs on Ocean	Comedy Show
  Fri	28	4:00 PM		Tandem Sidecar	Jazz and interesting others
  Fri	28	7:00 PM		Sidewinders	Friday Night Social Jazz
  Fri	28	10:30 PM		DJ Ell	Open Format DJ
  Sat	29	1:00 PM		Porkchop Express	Americana / Rock / Honky-tonk
  Sat	29	4:00 PM		Bodega Kat	Neo Soul Vibes
  Sat	29	7:00 PM		El guajiro	Latin classics with a Cuban twist
  Sat	29	10:30 PM		DJ Samurei	Jersey club, Miami bass, and R&B edits
  Sun	30	1:00 PM		Song Writers Showcase	Singer-Songwriter, all originals
  Sun	30	6:00 PM		Stevie Cornell	Eclictic, Rock, Jazz, and Much more
  Mon	31	7:00 PM		Game Nights	MTG, Video Games, Board Games
